product_name,rating,mrp,quantity,unit,type,discount,category,key_ingredients
Coco Intense Skin Awakening Kit,NULL,599,100,gram,Weight,0,Body Kit,Vitamin C
Coco Yogurt With Coffee And Cocoa For Rich Moisturization  ,4.8,599,200,ml,Volumn,0,Hair Oil,Unknown
Complete Skin Glow Kit,NULL,999,NULL,NULL,NULL,0.28,Hair Kit,Unknown
Day And Night Face Wash Combo,4.9,349,250,ml,Volumn,0,Face Wash,Argan Oil
Essential Antihair Fall Kit,NULL,679,NULL,NULL,NULL,0.03,Hair Oil,Onion Seed Extract Onion Seed Oil
Hair Fall Control Kit,NULL,599,250,ml,Volumn,0,Hair Oil,Onion Seed Oil
Hair Fall Control Regime Combo: Onion Shampoo 250Ml And Onion Hair Mask,NULL,349,100,gram,Weight,0,Unknown ,Turmeric
Hair Fall Control Regime Combo: Onion Shampoo 250Ml And Onion Hair Mask,NULL,399,200,ml,Volumn,0,Unknown ,Vitamin C
Hair Fall Reduction Combo,NULL,399,300,ml,Volumn,0,Body Kit,Aloe Vera
Hair Regrowth Combo : Onion Shampoo And Onion Conditioner,NULL,299,100,ml,Volumn,0,Hair Kit,Onion Seed Extract
Hair Regrowth Combo : Onion Shampoo And Onion Conditioner,NULL,599,30,ml,Volumn,0,Face Cream,Niacinamide
Hair Regrowth Combo : Onion Shampoo And Onion Conditioner,NULL,599,30,gram,Weight,0,Face Cream,Vitamin C
Hair Regrowth Combo : Onion Shampoo And Onion Conditioner,NULL,399,20,ml,Volumn,0,Hair Kit,Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract
Hairfall Control Kit,5,559,400,ml,Volumn,0,Hair Kit,Onion Seed Oil
Hairfall Control Kit,NULL,559,400,ml,Volumn,0,Hair Kit,Onion Seed Oil Coconut
Hairfall Control Kit,4.5,349,250,ml,Volumn,0,Hair Shampoo,Tea Tree Oil Ginger Oil
Hairfall Control Kit,5,349,250,ml,Volumn,0,Hair Kit,Onion Seed Oil
Hand Sanitizer With Lime & Neem For Killing Germs ,5,599,200,ml,Volumn,0,Hair Oil,Onion Oil
Happy Heads Shampoo For Healthy & Stronger Hair,5,349,250,ml,Volumn,0,Hair Oil,Tea Tree Oil
Healthy Hair Combo : Shampoo And Conditioner,NULL,449,30,ml,Volumn,0,Hair Kit,Vitamin C Daisy Flower Extract Licorice Extract Mulberry Extract
Hyaluronic Bamboo Sheet Mask With Rosehip Oil For Soft & Plump Skin ,5,679,250,ml,Volumn,0.03,Hair Shampoo,Onion Seed Oil
Hydragel Indian Sunscreen With Aloe Vera & Raspberry For Sun Protection ,5,299,80,ml,Volumn,0,Face Cream,Apple Cider Vinegar Cetearyl Octanoate Betaine Fatty Acids
Hydrating Natural Body Lotion With Cucumber & Aloe Vera For Normal Skin ,5,499,80,ml,Volumn,0,Body Lotion,Carrot Seed Oil
Mamaearth Epsom Bath Salt For Relaxation And Pain Relief  ,NULL,724,100,ml,Volumn,0.03,Body Kit,Saffron Turmeric Tanned Skin
Mamaearth Under Eye Cream With Cucumber & Caffeine For Dark Circles ,NULL,499,100,gram,Weight,0,Face Mask,Saffron
Micellar Water Foaming Makeup Remover With Rose Water & Glycolic Acid For Makeup Cleansing ,5,249,100,ml,Volumn,0,Face Wash,Turmeric Walnut Beads Licorice Extract Carrot Oil
Natural Radiance Day Cream,4.8,1199,NULL,NULL,NULL,0.25,Hair Kit,Bhringraj Oil Biotin
Neem Body Scrub With Neem & Tulsi For Skin Purification ,4.8,599,200,ml,Volumn,0,Hair Oil,Argan Oil
Neem Face Mask With Neem And Tea Tree For Pimples And Zits ,5,399,150,ml,Volumn,0,Face Wash,Apple Cider Vinegar Aloe Vera Water Cucumber Neem
Niacin Face Toner With Niacinamide & Witch Hazel For Acne And Open Pores  ,5,399,150,ml,Volumn,0,Face Wash,Turmeric Saffron Neem Oil Aloe Vera
Niacinamide Bamboo Sheet Mask With Niacinamide & Ginger Extract For Clear & Glowing Skin ,5,598,2,Packet,Count,0,Body Wash,Tea Tree Neem Oat Amino Acids Glycerin
Niacinamide Bamboo Sheet Mask With Niacinamide & Ginger Extract For Clear & Glowing Skin ,NULL,598,2,Packet,Count,0,Face Mask,Charcoal Peppermint Oat Amino Acids Glycerin
Niacinamide Bamboo Sheet Mask With Niacinamide & Ginger Extract For Clear & Glowing Skin ,5,598,2,Packet,Count,0,Body Wash,Coffee Cocoa Oat Amino Acids Glycerin
Nipple Butter Cream For Sore & Cracked Nipples,5,598,2,Packet,Count,0,Body Wash,Vitamin C Honey Oat Amino Acids Glycerin
No More Tangles Conditioner For Fizz Free Hair,NULL,349,100,gram,Weight,0,Unknown ,Vitamin C Walnut Shell Powder Saffron Turmeric Root Oil
Oilfree Face Moisturizer For Acneprone Skin,5,349,250,ml,Volumn,0,Face Cream,Fermented Rice Water Keratin Wheat Protein
Oilfree Face Moisturizer For Acneprone Skin,5,399,150,ml,Volumn,0,Hair Oil,Unknown
Oilfree Face Moisturizer For Acneprone Skin,5,349,250,ml,Volumn,0,Face Cream,Fermented Rice Water Keratin Coconut Oil
Onion Conditioner For Hair Growth And Hair Fall Control With Onion And Coconut,NULL,299,300,ml,Volumn,0,Body Wash,Tea Tree
Onion Conditioner For Hair Growth And Hair Fall Control With Onion And Coconut,5,299,300,ml,Volumn,0,Body Wash,Turmeric
Onion Conditioner For Hair Growth And Hair Fall Control With Onion And Coconut,5,299,300,ml,Volumn,0,Body Wash,Coffee Cocoa
Onion Conditioner For Hair Growth And Hair Fall Control With Onion And Coconut,NULL,299,300,ml,Volumn,0,Unknown ,Charcoal
Onion Conditioner For Hair Growth And Hair Fall Control With Onion And Coconut,5,299,300,ml,Volumn,0,Body Wash,Vitamin C
Onion Hair Mask For Hair Fall Control With Onion Oil And Organic Bamboo Vinegar,5,699,50,gram,Weight,0,Unknown ,Retinol
Onion Hair Mask For Hair Fall Control With Onion Oil And Organic Bamboo Vinegar,4.8,299,100,ml,Volumn,0,Face Wash,Retinol
Onion Hair Mask For Hair Fall Control With Onion Oil And Organic Bamboo Vinegar,5,399,200,ml,Volumn,0,Unknown ,Niacinamide
Onion Hair Mask For Hair Fall Control With Onion Oil And Organic Bamboo Vinegar,5,399,150,ml,Volumn,0,Face Wash,Tea Tree
Onion Hair Mask For Hair Fall Control With Onion Oil And Organic Bamboo Vinegar,4.9,599,NULL,NULL,NULL,0,Face Cream,Tea Tree Oil
Onion Hair Mask For Hair Fall Control With Onion Oil And Organic Bamboo Vinegar,5,799,NULL,NULL,NULL,0,Face Cream,Retinol
Onion Hair Oil And Onion Hair Mask Combo,5,999,NULL,NULL,NULL,0.23,Body Kit,Cucumber Extract
Onion Hair Oil For Hair Regrowth & Hair Fall Control,5,849,NULL,NULL,NULL,0.23,Body Kit,Unknown
Onion Hair Oil For Hair Regrowth & Hair Fall Control,NULL,824,NULL,NULL,NULL,0.03,Hair Oil,Vitamin C
Onion Hair Oil For Hair Regrowth & Hair Fall Control,NULL,724,200,ml,Volumn,0.03,Body Kit,Vitamin C
Onion Hair Oil For Hair Regrowth & Hair Fall Control,5,949,NULL,NULL,NULL,0.24,Body Kit,Vitamin C
Onion Hair Oil For Hair Regrowth And Hair Fall Control With Redensyl,5,648,NULL,NULL,NULL,0,Hair Oil,Vitamin C
Onion Hair Oil For Hair Regrowth And Hair Fall Control With Redensyl,5,949,NULL,NULL,NULL,0.24,Body Kit,Vitamin C
Onion Hair Oil For Hair Regrowth And Hair Fall Control With Redensyl,5,634,NULL,NULL,NULL,0.02,Body Kit,Vitamin C
Onion Hair Serum And Onion Hair Mask Combo,5,499,250,ml,Volumn,0,Hair Oil,Unknown
Onion Hair Serum And Onion Hair Oil Combo,4.9,599,250,ml,Volumn,0,Hair Oil,Argan Oil
Onion Hair Serum And Onion Hair Oil Combo,NULL,599,100,gram,Weight,0,Face Mask,Turmeric
Onion Hair Serum And Onion Hair Oil Combo,NULL,1299,NULL,NULL,NULL,0.23,Hair Kit,Onion
Onion Hair Serum With Onion & Biotin For Strong Frizzfree Hair ,NULL,999,NULL,NULL,NULL,0.26,Unknown ,Cee
Onion Hair Serum With Onion & Biotin For Strong Frizzfree Hair ,5,1349,NULL,NULL,NULL,0.25,Body Kit,Turmeric
Onion Hair Serum With Onion & Biotin For Strong Frizzfree Hair ,5,149,25,gram,Weight,0,Unknown ,Hyaluronic Acid
Onion Hair Serum With Onion & Biotin For Strong Frizzfree Hair ,5,149,25,gram,Weight,0,Unknown ,Retinol Retinol
Onion Scalp Serum With Onion & Niacinamide For Healthy Hair Growth ,5,149,25,gram,Weight,0,Unknown ,Coffee Coffee
Onion Scalp Serum With Onion & Niacinamide For Healthy Hair Growth ,5,149,25,gram,Weight,0,Unknown ,Turmeric
Onion Scalp Serum With Onion & Niacinamide For Healthy Hair Growth ,5,149,25,gram,Weight,0,Unknown ,Rice Water Coconut Milk Argan Oil
Onion Shampoo 400Ml And Onion Conditioner 250Ml Combo,4.9,149,25,gram,Weight,0,Hair Shampoo,Rose Water
Onion Shampoo And Oil Combo,5,149,25,gram,Weight,0,Hair Shampoo,Niacinamide
Onion Shampoo And Oil Combo,4.8,899,NULL,NULL,NULL,0.25,Hair Shampoo,Activated Charcoal Cee Walnut
Onion Shampoo And Oil Combo,NULL,584,NULL,NULL,NULL,0.02,Face Wash,Activated Charcoal Cee Walnut
Onion Shampoo And Onion Hair Serum Combo,NULL,489,2,Packet,Count,0.02,Face Wash,Cee
Onion Shampoo And Onion Hair Serum Combo,NULL,634,NULL,NULL,NULL,0.02,Hair Shampoo,Red Onion
Onion Shampoo And Onion Hair Serum Combo,5,1249,NULL,NULL,NULL,0.04,Hair Shampoo,Onion Seed Oil
Onion Shampoo For Hair Growth & Hair Fall Control (250 Ml)  Pac,NULL,924,NULL,NULL,NULL,0.03,Hair Shampoo,Onion Seed Oil
Onion Shampoo For Hair Growth & Hair Fall Control (250 Ml)  Pac,5,679,250,ml,Volumn,0.03,Hair Shampoo,Onion Seed Oil
Onion Shampoo For Hair Growth & Hair Fall Control (250 Ml)  Pac,NULL,399,250,ml,Volumn,0,Face Wash,Vitamin C
Onion Shampoo For Hair Growth And Hair Fall Control With Onion Oil And Plant Keratin,NULL,679,30,ml,Volumn,0.03,Face Wash,Walnut Beads Liquorice Extract Carrot Seed Oil Mulberry Extract Daisy Flower Geranium Oil
Onion Shampoo For Hair Growth And Hair Fall Control With Onion Oil And Plant Keratin,4.9,949,NULL,NULL,NULL,0,Hair Kit,Unknown
Onion Shampoo For Hair Growth And Hair Fall Control With Onion Oil And Plant Keratin,4.8,599,30,gram,Weight,0,Face Cream,Unknown
Onion Shampoo For Hair Growth And Hair Fall Control With Onion Oil And Plant Keratin ,NULL,399,150,ml,Volumn,0,Hair Oil,Unknown
Onion Shampoo For Hair Growth And Hair Fall Control With Onion Oil And Plant Keratin ,5,499,100,gram,Weight,0,Face Mask,Unknown
Onion Shampoo For Hair Growth And Hair Fall Control With Onion Oil And Plant Keratin ,5,599,250,ml,Volumn,0,Hair Oil,Unknown
Onion Shampoo For Hair Growth And Hair Fall Control With Onion Oil And Plant Keratin ,5,399,150,ml,Volumn,0,Hair Oil,Unknown
Progrowth Hair Tonic For Better Hair Growth,5,849,NULL,NULL,NULL,0.26,Unknown ,Apple Cider Vinegar Niacinamide
Retinol Bamboo Sheet Mask With Retinol & Bakuchi For Fine Lines & Wrinkles ,5,599,50,ml,Volumn,0,Face Mask,Red Onion
Retinol Face Serum,5,399,400,ml,Volumn,0,Body Lotion,Vitamin C
Retinol Face Wash With Retinol & Bakuchi For Fine Lines And Wrinkles ,5,399,400,ml,Volumn,0,Body Lotion,Turmeric
Retinol Night Cream For Women With Retinol & Bakuchi For Anti Aging Fine Lines And Wrinkles ,5,399,400,ml,Volumn,0,Face Cream,Coffee
Revitalizing Turmeric Kits,5,399,400,ml,Volumn,0,Unknown ,Rose Water
Rice Hair Oil With Rice Bran & Coconut Oil For Damage Repair ,5,399,150,ml,Volumn,0,Face Wash,Vitamin C
Rice Water Bamboo Sheet Mask With Rice Water & Coconut Milk For Deep Hydration ,5,399,200,ml,Volumn,0,Face Mask,Rose Water
Rice Water Conditioner With Rice Water & Keratin For Damaged Dry And Frizzy Hair  ,5,349,50,gram,Weight,0,Unknown ,Turmeric
Rice Water Shampoo With Rice Water And Keratin For Damage Repair ,5,349,NULL,NULL,NULL,0,Hair Shampoo,Vitamin C
Root Restore Hair Oil For Hair Fall Reduction,5,349,50,gram,Weight,0,Hair Oil,Cocoa
Rose Body Lotion With Rose Water And Milk For Deep Hydration ,5,399,150,ml,Volumn,0,Body Lotion,Rose Water
Rose Face Toner With Witch Hazel & Rose Water For Pore Tightening ,5,449,100,ml,Volumn,0,Unknown ,Vitamin C
Rose Water Bamboo Sheet Mask With Rose Water & Milk For Glowing Skin ,5,679,NULL,NULL,NULL,0.03,Face Mask,Argan Oil
Skin Correct Face Serum With Niacinamide And Ginger Extract For Acne Marks & Scars ,5,924,NULL,NULL,NULL,0.03,Hair Shampoo,Argan Oil
Skin Correct Face Serum With Niacinamide And Ginger Extract For Acne Marks & Scars ,5,589,NULL,NULL,NULL,0.02,Unknown ,Turmeric
Skin Correct Face Serum With Niacinamide And Ginger Extract For Acne Marks & Scars ,NULL,679,NULL,NULL,NULL,0.03,Unknown ,Bhringraj
Skin Illuminate Face Serum And Bye Bye Blemishes 30G Combo,NULL,499,200,gram,Weight,0,Unknown ,Turmeric
Skin Illuminate Face Serum And Bye Bye Dark Circles Combo,NULL,499,200,gram,Weight,0,Body Kit,Neem
Skin Illuminate Face Serum For Radiant Skin With Vitamin C & Turmeric,NULL,299,250,ml,Volumn,0,Unknown ,Unknown
Skin Illuminate Face Serum For Radiant Skin With Vitamin C & Turmeric ,NULL,1749,NULL,NULL,NULL,0.05,Unknown ,Vitamin C
Skin Illuminate Face Serum For Radiant Skin With Vitamin C & Turmeric ,NULL,1699,NULL,NULL,NULL,0.03,Unknown ,Vitamin C
Skin Illuminate Face Serum For Radiant Skin With Vitamin C & Turmeric ,5,349,250,ml,Volumn,0,Unknown ,Bhringraj
Skin Lightening & Brightening Combo : Ubtan Facemask And Ubtan Facewash,5,349,250,ml,Volumn,0,Hair Shampoo,Bhringraj
Skin Lightening & Brightening Combo : Ubtan Facemask And Ubtan Facewash,4.9,499,250,ml,Volumn,0,Hair Oil,Bhringraj
Skin Lightening & Brightening Combo : Ubtan Facemask And Ubtan Facewash,5,799,NULL,NULL,NULL,0.27,Unknown ,Turmeric
Skin Plump Serum For Face Glow With Hyaluronic Acid & Rosehip Oil For Ageless Skin ,5,599,200,gram,Weight,0,Unknown ,Bhringraj
Spotless Skin Combo: Ubtan Facewash  100Ml And Bye Bye Blemishes Face Cream ,NULL,399,50,gram,Weight,0,Unknown ,Aloe Vera Raspberry
Spotless Skin Combo: Ubtan Facewash  100Ml And Bye Bye Blemishes Face Cream ,NULL,249,100,ml,Volumn,0,Face Wash,Vitamin C
Spotless Skin Combo: Ubtan Facewash  100Ml And Bye Bye Blemishes Face Cream ,NULL,599,50,gram,Weight,0,Unknown ,Vitamin C
Stretch Marks Cream,NULL,499,100,gram,Weight,0,Face Mask,Vitamin C
Sun Protection Combo : Sunscreen 80Ml And Ubtan Facewash,NULL,249,100,ml,Volumn,0,Face Wash,Coffee
Tan Removal Combo,4.9,349,100,gram,Weight,0,Unknown ,Coffee Cocoa
Tan Removal Regimen,5,499,100,gram,Weight,0,Face Mask,Coffee
Tea Tree Anti Dandruff Hair Mask,NULL,599,100,gram,Weight,0,Unknown ,Vitamin C
Tea Tree Antidandruff Hair Regime Kit,NULL,499,200,ml,Volumn,0,Hair Kit,Turmeric
Tea Tree Body Wash With Tea Tree & Neem For Skin Purification ,NULL,499,200,ml,Volumn,0,Body Wash,Coffee
Tea Tree Body Wash With Tea Tree & Neem For Skin Purification Pack,5,924,200,ml,Volumn,0.03,Hair Shampoo,Unknown
Tea Tree Conditioner With Tea Tree & Ginger Oil For Dandruff Free Hair,4.8,679,250,ml,Volumn,0.03,Hair Shampoo,Unknown
Tea Tree Conditioner With Tea Tree & Ginger Oil For Dandruff Free Hair,5,349,250,ml,Volumn,0,Hair Kit,Unknown
Tea Tree Conditioner With Tea Tree & Ginger Oil For Dandruff Free Hair,NULL,299,100,ml,Volumn,0,Unknown ,Unknown
Tea Tree Face Serum,4.8,599,200,ml,Volumn,0,Hair Oil,Unknown
Tea Tree Face Wash And Bye Bye Blemishes 30Ml Combo,4.9,349,250,ml,Volumn,0,Face Wash,Unknown
Tea Tree Face Wash And Charcoal Face Wash Combo,NULL,999,NULL,NULL,NULL,0.28,Hair Kit,Unknown
Tea Tree Facewash For Acne & Pimples,4.9,349,250,ml,Volumn,0,Face Wash,Argan Oil
Tea Tree Facewash For Acne & Pimples,NULL,349,250,ml,Volumn,0,Hair Shampoo,Argan Oil
Tea Tree Facewash For Acne And Pimples Pack ,NULL,998,NULL,NULL,NULL,0,Hair Oil,Onion Oil Onion Seed Oil
Tea Tree Foaming Face Wash With Tea Tree & Salicylic Acid For Acne & Pimples ,NULL,679,NULL,NULL,NULL,0.03,Hair Oil,Onion Seed Extract Onion Seed Oil
Tea Tree Hair Oil With Tea Tree & Ginger Oil For Dandruff Free Hair ,4.8,884,NULL,NULL,NULL,0.03,Hair Oil,Onion Seed Oil Onion Seed Oil
Tea Tree Shampoo And Onion Hair Oil Combo,NULL,874,NULL,NULL,NULL,0.03,Hair Shampoo,Onion Seed Extract Onion Oil
Tea Tree Shampoo For Dandruff Free Hair ,NULL,824,NULL,NULL,NULL,0.03,Hair Shampoo,Turmeric Walnut Beads Licorice Extract Carrot Oil Vitamin C
Tea Tree Shampoo For Dandruff Free Hair ,NULL,969,NULL,NULL,NULL,0.03,Face Cream,Vitamin C Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract
Tea Tree Shampoo For Dandruff Free Hair ,NULL,824,NULL,NULL,NULL,0.03,Hair Shampoo,Vitamin C Daisy Flower Extract Licorice Extract Mulberry Extract Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract
Ubtan Bamboo Sheet Mask With Turmeric & Saffron For Skin Brightening ,4.8,724,NULL,NULL,NULL,0.03,Face Mask,Tea Tree Oil Ginger Oil Onion Seed Oil
Ubtan Bamboo Sheet Mask With Turmeric & Saffron For Skin Brightening ,NULL,999,NULL,NULL,NULL,0.05,Face Cream,Vitamin C Mulberry Extract Daisy Flower Geranium Oil Vetiver Oil
Ubtan Bamboo Sheet Mask With Turmeric & Saffron For Skin Brightening ,NULL,679,NULL,NULL,NULL,0.02,Face Wash,Neem Aloe Vera Tea Tree Oil Mulberry Extract Daisy Flower Geranium Oil Vetiver Oil
Ubtan Body Butter For Dry Skin With Turmeric & Honey For Deep Nourishment ,NULL,599,250,ml,Volumn,0,Hair Oil,Onion Seed Oil
Ubtan Body Lotion With Turmeric & Kokum Butter For Glowing Skin ,NULL,349,100,gram,Weight,0,Body Lotion,Activated Charcoal Walnut
Ubtan Body Lotion With Turmeric & Kokum Butter For Glowing Skin ,NULL,349,100,gram,Weight,0,Body Lotion,Turmeric
Ubtan Body Lotion With Turmeric & Kokum Butter For Glowing Skin ,NULL,399,200,ml,Volumn,0,Body Lotion,Vitamin C
Ubtan Body Scrub With Turmeric & Saffron For Tan Removal ,NULL,399,300,ml,Volumn,0,Body Kit,Aloe Vera
Ubtan Body Wash With Turmeric & Saffron For Glowing Skin ,NULL,299,100,ml,Volumn,0,Body Wash,Onion Seed Extract
Ubtan Body Wash With Turmeric & Saffron For Glowing Skin Pac,NULL,599,30,ml,Volumn,0,Face Cream,Niacinamide
